tipo,cta,subc,objg,ord,sord,item,sitem,concepto,fuente,situacion,rec,recurso,apropiacion_vigente_dep_gsto,total_cdp_dep_gstos,apropiacion_disponible_dep_gsto,total_cdp_modificacion_dep_gstos,total_compromiso_dep_gstos,cdp_por_comprometer_dep_gstos,total_obligaciones_dep_gstos,compromiso_por_obligar_dep_gstos,total_ordenes_pago_dep_gstos,obligaciones_por_ordenar_dep_gstos,pagos_dep_gstos,ordenes_pago_por_pagar_dep_gstos,total_reintegros_dep_gstos
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
